Date,SPY
2016-06-01,178.6431884765625
2016-06-02,179.18692016601562
2016-06-03,178.6516571044922
2016-06-06,179.56069946289062
2016-06-07,179.841064453125
2016-06-08,180.42733764648438
2016-06-09,180.1809539794922
2016-06-10,178.4732666015625
2016-06-13,177.09689331054688
2016-06-14,176.74855041503906
2016-06-15,176.50221252441406
2016-06-16,177.0289306640625
2016-06-17,176.36968994140625
2016-06-20,177.50555419921875
2016-06-21,178.00936889648438
2016-06-22,177.71900939941406
2016-06-23,180.0333709716797
2016-06-24,173.5685272216797
2016-06-27,170.45997619628906
2016-06-28,173.53439331054688
2016-06-29,176.48927307128906
2016-06-30,178.89749145507812
2016-07-01,179.2732696533203
2016-07-05,177.98373413085938
2016-07-06,179.05126953125
2016-07-07,178.94021606445312
2016-07-08,181.60475158691406
2016-07-11,182.24520874023438
2016-07-12,183.56895446777344
2016-07-13,183.54335021972656
2016-07-14,184.56814575195312
2016-07-15,184.3204803466797
2016-07-18,184.81582641601562
2016-07-19,184.62794494628906
2016-07-20,185.39651489257812
2016-07-21,184.69619750976562
2016-07-22,185.52459716796875
2016-07-25,185.02076721191406
2016-07-26,185.10617065429688
2016-07-27,184.9097137451172
2016-07-28,185.1232452392578
2016-07-29,185.42214965820312
2016-08-01,185.2683868408203
2016-08-02,184.08132934570312
2016-08-03,184.61936950683594
2016-08-04,184.81582641601562
2016-08-05,186.32737731933594
2016-08-08,186.2163848876953
2016-08-09,186.32737731933594
2016-08-10,185.86622619628906
2016-08-11,186.72879028320312
2016-08-12,186.56651306152344
2016-08-15,187.10452270507812
2016-08-16,186.1395263671875
2016-08-17,186.4897003173828
2016-08-18,186.90814208984375
2016-08-19,186.6348114013672
2016-08-22,186.62632751464844
2016-08-23,187.0020751953125
2016-08-24,186.0455322265625
2016-08-25,185.91746520996094
2016-08-26,185.56732177734375
2016-08-29,186.48114013671875
2016-08-30,186.17369079589844
2016-08-31,185.6442108154297
2016-09-01,185.65274047851562
2016-09-02,186.4897003173828
2016-09-06,187.0532989501953
2016-09-07,187.03623962402344
2016-09-08,186.60922241210938
2016-09-09,182.14276123046875
2016-09-12,184.75601196289062
2016-09-13,182.10006713867188
2016-09-14,182.03170776367188
2016-09-15,183.85076904296875
2016-09-16,183.14004516601562
2016-09-19,183.1743927001953
2016-09-20,183.18299865722656
2016-09-21,185.24293518066406
2016-09-22,186.4102783203125
2016-09-23,185.3888702392578
2016-09-26,183.88681030273438
2016-09-27,185.02838134765625
2016-09-28,185.94679260253906
2016-09-29,184.2644805908203
2016-09-30,185.65496826171875
2016-10-03,185.20867919921875
2016-10-04,184.2644805908203
2016-10-05,185.07989501953125
2016-10-06,185.20867919921875
2016-10-07,184.573486328125
2016-10-10,185.5348663330078
2016-10-11,183.19161987304688
2016-10-12,183.4319610595703
2016-10-13,182.8311309814453
2016-10-14,182.92547607421875
2016-10-17,182.2903594970703
2016-10-18,183.4319610595703
2016-10-19,183.92112731933594
2016-10-20,183.5778350830078
2016-10-21,183.6636505126953
2016-10-24,184.44471740722656
2016-10-25,183.82672119140625
2016-10-26,183.45765686035156
2016-10-27,182.96841430664062
2016-10-28,182.4276580810547
2016-10-31,182.4362335205078
2016-11-01,181.1144256591797
2016-11-02,180.02438354492188
2016-11-03,179.20034790039062
2016-11-04,179.00299072265625
2016-11-07,182.9512176513672
2016-11-08,183.7752227783203
2016-11-09,185.72361755371094
2016-11-10,186.1871337890625
2016-11-11,185.7579803466797
2016-11-14,185.9038848876953
2016-11-15,187.35443115234375
2016-11-16,187.0024871826172
2016-11-17,187.96385192871094
2016-11-18,187.54330444335938
2016-11-21,188.95947265625
2016-11-22,189.32858276367188
2016-11-23,189.4315643310547
2016-11-25,190.13540649414062
2016-11-28,189.2427520751953
2016-11-29,189.61184692382812
2016-11-30,189.15689086914062
2016-12-01,188.4617156982422
2016-12-02,188.55609130859375
2016-12-05,189.68910217285156
2016-12-06,190.2899169921875
2016-12-07,192.77903747558594
2016-12-08,193.25106811523438
2016-12-09,194.4184112548828
2016-12-12,194.1952667236328
2016-12-13,195.49130249023438
2016-12-14,193.87765502929688
2016-12-15,194.6759033203125
2016-12-16,194.29515075683594
2016-12-19,194.71823120117188
2016-12-20,195.4693603515625
2016-12-21,194.92547607421875
2016-12-22,194.58877563476562
2016-12-23,194.8736572265625
2016-12-27,195.35714721679688
2016-12-28,193.74261474609375
2016-12-29,193.69944763183594
2016-12-30,192.99142456054688
2017-01-03,194.4678497314453
2017-01-04,195.62477111816406
2017-01-05,195.4693603515625
2017-01-06,196.1686553955078
2017-01-09,195.5211639404297
2017-01-10,195.5211639404297
2017-01-11,196.07373046875
2017-01-12,195.58160400390625
2017-01-13,196.03060913085938
2017-01-17,195.33985900878906
2017-01-18,195.77154541015625
2017-01-19,195.0463409423828
2017-01-20,195.76290893554688
2017-01-23,195.25350952148438
2017-01-24,196.5054473876953
2017-01-25,198.206298828125
2017-01-26,197.9990234375
2017-01-27,197.68829345703125
2017-01-30,196.4623260498047
2017-01-31,196.4449462890625
2017-02-01,196.52273559570312
2017-02-02,196.65219116210938
2017-02-03,198.0077667236328
2017-02-06,197.65367126464844
2017-02-07,197.6623992919922
2017-02-08,197.92135620117188
2017-02-09,199.09559631347656
2017-02-10,199.88124084472656
2017-02-13,200.96913146972656
2017-02-14,201.77210998535156
2017-02-15,202.8253631591797
2017-02-16,202.65269470214844
2017-02-17,202.97215270996094
2017-02-21,204.180908203125
2017-02-22,203.9995880126953
2017-02-23,204.13771057128906
2017-02-24,204.396728515625
2017-02-27,204.71620178222656
2017-02-28,204.16366577148438
2017-03-01,207.02139282226562
2017-03-02,205.71771240234375
2017-03-03,205.8472442626953
2017-03-06,205.23422241210938
2017-03-07,204.62123107910156
2017-03-08,204.24130249023438
2017-03-09,204.50035095214844
2017-03-10,205.21697998046875
2017-03-13,205.320556640625
2017-03-14,204.53488159179688
2017-03-15,206.30477905273438
2017-03-16,205.89906311035156
2017-03-17,205.53738403320312
2017-03-20,205.3119354248047
2017-03-21,202.6758575439453
2017-03-22,203.15277099609375
2017-03-23,202.93601989746094
2017-03-24,202.78858947753906
2017-03-27,202.5804901123047
2017-03-28,204.05462646484375
2017-03-29,204.2454071044922
2017-03-30,204.89572143554688
2017-03-31,204.41883850097656
2017-04-03,204.0633087158203
2017-04-04,204.19334411621094
2017-04-05,203.58631896972656
2017-04-06,204.1586456298828
2017-04-07,203.95057678222656
2017-04-10,204.0719757080078
2017-04-11,203.82913208007812
2017-04-12,202.93601989746094
2017-04-13,201.61795043945312
2017-04-17,203.404296875
2017-04-18,202.79727172851562
2017-04-19,202.4243927001953
2017-04-20,204.0719757080078
2017-04-21,203.4215850830078
2017-04-24,205.6588134765625
2017-04-25,206.85543823242188
2017-04-26,206.72540283203125
2017-04-27,206.89883422851562
2017-04-28,206.44789123535156
2017-05-01,206.96824645996094
2017-05-02,207.04623413085938
2017-05-03,206.79481506347656
2017-05-04,207.03753662109375
2017-05-05,207.85269165039062
2017-05-08,207.81800842285156
2017-05-09,207.62718200683594
2017-05-10,208.0000457763672
2017-05-11,207.57518005371094
2017-05-12,207.2283477783203
2017-05-15,208.3729705810547
2017-05-16,208.1822052001953
2017-05-17,204.48822021484375
2017-05-18,205.3119354248047
2017-05-19,206.64736938476562
2017-05-22,207.69656372070312
2017-05-23,208.1562042236328
2017-05-24,208.64175415039062
2017-05-25,209.63897705078125
2017-05-26,209.5956268310547
2017-05-30,209.41357421875
2017-05-31,209.36148071289062
2017-06-01,211.02638244628906
2017-06-02,211.72877502441406
2017-06-05,211.5727081298828
2017-06-06,210.89630126953125
2017-06-07,211.2864990234375
2017-06-08,211.3905792236328
2017-06-09,211.06973266601562
2017-06-12,211.02638244628906
2017-06-13,212.05824279785156
2017-06-14,211.7894744873047
2017-06-15,211.38192749023438
2017-06-16,211.4281463623047
2017-06-19,213.188232421875
2017-06-20,211.75048828125
